10766.jpg, 1, Label: person, Confidence: 0.91
10766.jpg, 3, Label: person, Confidence: 0.90
10766.jpg, 5, no object detected
10766.jpg, 7, no object detected
10766.jpg, 10, no object detected
10766.jpg, 0, Label: person, Confidence: 0.91
27434.jpg, 1, Label: person, Confidence: 0.33
27434.jpg, 3, Label: person, Confidence: 0.25
27434.jpg, 5, no object detected
27434.jpg, 7, no object detected
27434.jpg, 10, no object detected
27434.jpg, 0, Label: person, Confidence: 0.33
5404.jpg, 1, Label: person, Confidence: 0.41
5404.jpg, 3, Label: person, Confidence: 0.40
5404.jpg, 5, Label: person, Confidence: 0.36
5404.jpg, 7, no object detected
5404.jpg, 10, no object detected
5404.jpg, 0, Label: person, Confidence: 0.41
23429.jpg, 1, Label: person, Confidence: 0.87
23429.jpg, 3, Label: person, Confidence: 0.86
23429.jpg, 5, Label: person, Confidence: 0.74
23429.jpg, 7, Label: person, Confidence: 0.25
23429.jpg, 10, no object detected
23429.jpg, 0, Label: person, Confidence: 0.87
1711.jpg, 1, Label: person, Confidence: 0.70
1711.jpg, 1, Label: person, Confidence: 0.28
1711.jpg, 3, Label: person, Confidence: 0.65
1711.jpg, 3, Label: person, Confidence: 0.32
1711.jpg, 5, no object detected
1711.jpg, 7, no object detected
1711.jpg, 10, no object detected
1711.jpg, 0, Label: person, Confidence: 0.70
1711.jpg, 0, Label: person, Confidence: 0.28
20854.jpg, 1, Label: person, Confidence: 0.82
20854.jpg, 3, Label: person, Confidence: 0.66
20854.jpg, 5, Label: person, Confidence: 0.28
20854.jpg, 7, no object detected
20854.jpg, 10, no object detected
20854.jpg, 0, Label: person, Confidence: 0.82
25898.jpg, 1, Label: person, Confidence: 0.77
25898.jpg, 3, Label: person, Confidence: 0.75
25898.jpg, 5, no object detected
25898.jpg, 7, no object detected
25898.jpg, 10, no object detected
25898.jpg, 0, Label: person, Confidence: 0.77
14307.jpg, 1, Label: person, Confidence: 0.94
14307.jpg, 3, Label: person, Confidence: 0.92
14307.jpg, 5, no object detected
14307.jpg, 7, no object detected
14307.jpg, 10, no object detected
14307.jpg, 0, Label: person, Confidence: 0.94
2947.jpg, 1, Label: person, Confidence: 0.79
2947.jpg, 3, Label: person, Confidence: 0.74
2947.jpg, 5, Label: person, Confidence: 0.31
2947.jpg, 7, no object detected
2947.jpg, 10, no object detected
2947.jpg, 0, Label: person, Confidence: 0.79
26079.jpg, 1, Label: person, Confidence: 0.87
